5,1.0E-9,110,4.3424816806406866E-10
15,1.0E-9,117,4.100290747453212E-10
25,1.0E-9,119,4.0939436178630036E-10
35,1.0E-9,120,4.129490655545852E-10
45,1.0E-9,116,4.0559118376556585E-10
55,1.0E-9,114,4.3954818425551147E-10
65,1.0E-9,119,4.265013836068182E-10
75,1.0E-9,119,4.435356729989529E-10
85,1.0E-9,113,4.376244426060992E-10
95,1.0E-9,123,3.9503332059012914E-10
105,1.0E-9,118,4.221829842932425E-10
115,1.0E-9,108,4.31178862531858E-10
125,1.0E-9,119,3.914199648729163E-10
135,1.0E-9,116,4.0775142442665506E-10
145,1.0E-9,113,4.519522948018797E-10
155,1.0E-9,120,4.1030364402550594E-10
165,1.0E-9,112,3.844448817243495E-10
175,1.0E-9,113,4.4941242662404733E-10
185,1.0E-9,122,4.191407742142712E-10
195,1.0E-9,116,4.011412438982992E-10
205,1.0E-9,100,5.345771610436868E-10
215,1.0E-9,123,4.096062185129338E-10
225,1.0E-9,113,4.013383530592316E-10
235,1.0E-9,112,4.3405393358890977E-10
245,1.0E-9,122,4.0489909129436534E-10
255,1.0E-9,112,3.993102139072311E-10
265,1.0E-9,121,4.296595286128247E-10
275,1.0E-9,118,4.3073911198629704E-10
285,1.0E-9,119,3.990552607876993E-10
295,1.0E-9,104,4.2533271732684755E-10
305,1.0E-9,106,4.581409667640715E-10
315,1.0E-9,116,4.465704362092738E-10
325,1.0E-9,122,4.309907941983984E-10
335,1.0E-9,119,4.376650318359927E-10
345,1.0E-9,118,4.4057026551369364E-10
355,1.0E-9,115,4.2067550661665365E-10
365,1.0E-9,109,3.9790650631241207E-10
375,1.0E-9,121,4.37225667702342E-10
385,1.0E-9,122,4.4580281391593336E-10
395,1.0E-9,116,4.014425322829401E-10
405,1.0E-9,108,4.510361209337976E-10
415,1.0E-9,106,4.212561468989127E-10
425,1.0E-9,110,3.817504466566081E-10
435,1.0E-9,114,4.526212918140908E-10
445,1.0E-9,116,4.1854157249382697E-10
455,1.0E-9,113,4.12076183547271E-10
465,1.0E-9,119,4.422524489763188E-10
475,1.0E-9,105,4.5639984357688903E-10
485,1.0E-9,119,4.191995251539615E-10
495,1.0E-9,113,3.8357564760605084E-10
505,1.0E-9,119,4.1110876467978036E-10
515,1.0E-9,119,4.5128293184575013E-10
525,1.0E-9,119,4.052426323113934E-10
535,1.0E-9,123,3.8723198931272447E-10
545,1.0E-9,114,3.8142006011345415E-10
555,1.0E-9,114,4.0534531215244187E-10
565,1.0E-9,120,4.0499509100811065E-10
575,1.0E-9,111,4.3661192393423155E-10
585,1.0E-9,118,3.94851787366723E-10
595,1.0E-9,119,3.9069329625228136E-10
605,1.0E-9,103,5.024559214614549E-10
615,1.0E-9,121,4.01171341595816E-10
625,1.0E-9,118,4.255457366424747E-10
635,1.0E-9,111,4.1761592170738327E-10
645,1.0E-9,104,4.5948602043600084E-10
655,1.0E-9,116,3.89885391657911E-10
665,1.0E-9,117,4.2662603307881644E-10
675,1.0E-9,120,4.0558705132922887E-10
685,1.0E-9,121,4.3687928299444985E-10
695,1.0E-9,120,4.262414144559479E-10
705,1.0E-9,112,3.8936737409387033E-10
715,1.0E-9,119,4.4597675563754487E-10
725,1.0E-9,117,3.823972552883073E-10
735,1.0E-9,118,4.377370062485532E-10
745,1.0E-9,122,4.5407526435742604E-10
755,1.0E-9,122,4.2873102156846666E-10
765,1.0E-9,110,4.2163895042828505E-10
775,1.0E-9,122,3.812668301091335E-10
785,1.0E-9,111,3.8571847564482427E-10
795,1.0E-9,118,4.356527243743541E-10
805,1.0E-9,120,3.9552151412631113E-10
815,1.0E-9,118,3.979591677969275E-10
825,1.0E-9,115,4.534337390933611E-10
835,1.0E-9,122,4.2553871690701923E-10
845,1.0E-9,121,3.85910691018374E-10
855,1.0E-9,119,4.336929682724847E-10
865,1.0E-9,116,4.153647156601351E-10
875,1.0E-9,119,4.201455563117251E-10
885,1.0E-9,110,4.4520282622310254E-10
895,1.0E-9,123,3.9177053928554374E-10
905,1.0E-9,105,4.631402275377353E-10
915,1.0E-9,117,4.380637362408374E-10
925,1.0E-9,115,4.090074854818916E-10
935,1.0E-9,119,4.1010077570110216E-10
945,1.0E-9,113,4.09143908353574E-10
955,1.0E-9,119,3.848084420092432E-10
965,1.0E-9,104,5.200425430392846E-10
975,1.0E-9,113,4.0853934469745915E-10
985,1.0E-9,123,3.9414469240491493E-10
995,1.0E-9,116,4.0570303878638884E-10