N,precission,omega,sor_iterations,jacobi_iterations
5,1.0E-9,0.1,751,107
10,0.001,0.1,162,37
5,1.0E-9,0.2,370,107
5,1.0E-9,0.30000000000000004,238,107
5,1.0E-9,0.4,170,107
5,0.001,0.1,161,34
5,1.0E-9,0.5,128,107
5,0.001,0.2,93,34
5,1.0E-9,0.6,99,107
5,1.0E-9,0.7,77,107
5,1.0E-9,0.7999999999999999,57,107
5,1.0E-9,0.8999999999999999,49,107
5,1.0E-9,0.9999999999999999,41,107
5,1.0E-9,1.0999999999999999,33,107
5,1.0E-9,1.2,23,107
5,1.0E-9,1.3,22,107
5,1.0E-9,1.4000000000000001,27,107
5,1.0E-9,1.5000000000000002,36,107
5,1.0E-9,1.6000000000000003,47,107
5,1.0E-9,1.7000000000000004,66,107
5,1.0E-9,1.8000000000000005,105,107
5,1.0E-9,1.9000000000000006,222,107
10,0.001,0.2,92,37
10,0.001,0.30000000000000004,64,37
10,0.001,0.4,48,37
10,0.001,0.5,38,37
10,0.001,0.6,31,37
10,0.001,0.7,26,37
10,0.001,0.7999999999999999,22,37
10,0.001,0.8999999999999999,19,37
10,0.001,0.9999999999999999,16,37
10,0.001,1.0999999999999999,14,37
5,1.0000000000000001E-7,0.1,523,82
10,0.001,1.2,12,37
5,1.0000000000000001E-7,0.2,264,82
5,1.0000000000000001E-7,0.30000000000000004,172,82
5,1.0000000000000001E-7,0.4,125,82
5,1.0000000000000001E-7,0.5,95,82
5,1.0000000000000001E-7,0.6,75,82
5,1.0000000000000001E-7,0.7,60,82
5,1.0000000000000001E-7,0.7999999999999999,49,82
5,1.0000000000000001E-7,0.8999999999999999,39,82
5,1.0000000000000001E-7,0.9999999999999999,32,82
5,1.0000000000000001E-7,1.0999999999999999,24,82
5,1.0000000000000001E-7,1.2,17,82
5,1.0000000000000001E-7,1.3,16,82
5,1.0000000000000001E-7,1.4000000000000001,20,82
5,1.0000000000000001E-7,1.5000000000000002,26,82
5,1.0000000000000001E-7,1.6000000000000003,35,82
5,1.0000000000000001E-7,1.7000000000000004,50,82
5,1.0000000000000001E-7,1.8000000000000005,80,82
5,1.0000000000000001E-7,1.9000000000000006,166,82
10,1.0000000000000001E-7,0.1,712,82
5,1.0E-5,0.1,370,56
5,0.001,0.30000000000000004,65,34
10,1.0000000000000001E-7,0.2,357,82
5,0.001,0.4,49,34
5,0.001,0.5,39,34
5,0.001,0.6,32,34
5,0.001,0.7,26,34
5,0.001,0.7999999999999999,22,34
5,0.001,0.8999999999999999,18,34
5,0.001,0.9999999999999999,15,34
5,0.001,1.0999999999999999,12,34
5,0.001,1.2,9,34
5,0.001,1.3,9,34
5,0.001,1.4000000000000001,10,34
5,0.001,1.5000000000000002,13,34
5,0.001,1.6000000000000003,18,34
5,0.001,1.7000000000000004,25,34
5,0.001,1.8000000000000005,40,34
5,0.001,1.9000000000000006,82,34
10,1.0E-9,0.1,872,97
10,1.0E-5,0.1,368,56
10,0.001,1.3,11,37
5,1.0E-5,0.2,192,56
10,1.0E-5,0.2,188,56
10,0.001,1.4000000000000001,13,37
10,1.0E-5,0.30000000000000004,122,56
10,1.0E-5,0.4,87,56
10,1.0E-9,0.2,435,97
10,0.001,1.5000000000000002,15,37
10,1.0E-5,0.5,67,56
10,0.001,1.6000000000000003,20,37
10,1.0E-5,0.6,56,56
10,0.001,1.7000000000000004,27,37
10,1.0E-5,0.7,48,56
10,0.001,1.8000000000000005,42,37
10,1.0E-5,0.7999999999999999,41,56
10,0.001,1.9000000000000006,89,37
10,1.0E-5,0.8999999999999999,35,56
5,1.0E-5,0.30000000000000004,127,56
10,1.0E-5,0.9999999999999999,29,56
5,1.0E-5,0.4,93,56
5,1.0E-5,0.5,72,56
5,1.0E-5,0.6,57,56
10,1.0000000000000001E-7,0.30000000000000004,232,82
10,1.0E-9,0.30000000000000004,283,97
10,1.0000000000000001E-7,0.4,167,82
10,1.0E-9,0.4,205,97
10,1.0000000000000001E-7,0.5,128,82
10,1.0E-9,0.5,157,97
10,1.0000000000000001E-7,0.6,100,82
10,1.0E-9,0.6,124,97
10,1.0000000000000001E-7,0.7,80,82
10,1.0E-9,0.7,100,97
10,1.0000000000000001E-7,0.7999999999999999,65,82
10,1.0E-9,0.7999999999999999,81,97
10,1.0000000000000001E-7,0.8999999999999999,52,82
10,1.0E-9,0.8999999999999999,66,97
10,1.0000000000000001E-7,0.9999999999999999,41,82
10,1.0E-9,0.9999999999999999,53,97
10,1.0E-9,1.0999999999999999,41,97
10,1.0E-9,1.2,33,97
10,1.0E-9,1.3,30,97
10,1.0E-9,1.4000000000000001,33,97
10,1.0E-9,1.5000000000000002,41,97
10,1.0E-9,1.6000000000000003,53,97
10,1.0E-9,1.7000000000000004,75,97
10,1.0E-9,1.8000000000000005,116,97
5,1.0E-5,0.7,46,56
10,1.0E-5,1.0999999999999999,24,56
5,1.0E-5,0.7999999999999999,38,56
5,1.0E-5,0.8999999999999999,31,56
10,1.0E-5,1.2,19,56
10,1.0E-5,1.3,18,56
10,1.0E-5,1.4000000000000001,20,56
10,1.0E-5,1.5000000000000002,24,56
10,1.0E-5,1.6000000000000003,32,56
10,1.0E-5,1.7000000000000004,43,56
10,1.0E-5,1.8000000000000005,69,56
10,1.0E-5,1.9000000000000006,144,56
10,1.0000000000000001E-7,1.0999999999999999,31,82
20,0.001,0.1,187,37
5,1.0E-5,0.9999999999999999,25,56
5,1.0E-5,1.0999999999999999,20,56
5,1.0E-5,1.2,14,56
5,1.0E-5,1.3,13,56
5,1.0E-5,1.4000000000000001,16,56
10,1.0000000000000001E-7,1.2,25,82
5,1.0E-5,1.5000000000000002,20,56
5,1.0E-5,1.6000000000000003,28,56
10,1.0000000000000001E-7,1.3,23,82
10,1.0E-9,1.9000000000000006,245,97
10,1.0000000000000001E-7,1.4000000000000001,26,82
20,0.001,0.2,105,37
10,1.0000000000000001E-7,1.5000000000000002,32,82
10,1.0000000000000001E-7,1.6000000000000003,41,82
10,1.0000000000000001E-7,1.7000000000000004,58,82
10,1.0000000000000001E-7,1.8000000000000005,92,82
10,1.0000000000000001E-7,1.9000000000000006,191,82
20,0.001,0.30000000000000004,73,37
5,1.0E-5,1.7000000000000004,39,56
5,1.0E-5,1.8000000000000005,61,56
5,1.0E-5,1.9000000000000006,124,56
20,0.001,0.4,55,37
20,0.001,0.5,44,37
20,1.0E-5,0.1,386,57
20,0.001,0.6,36,37
20,0.001,0.7,30,37
20,0.001,0.7999999999999999,25,37
20,1.0E-5,0.2,197,57
20,0.001,0.8999999999999999,21,37
20,1.0E-5,0.30000000000000004,129,57
20,0.001,0.9999999999999999,18,37
20,0.001,1.0999999999999999,15,37
20,0.001,1.2,13,37
20,1.0000000000000001E-7,0.1,646,76
20,0.001,1.3,13,37
20,1.0E-9,0.1,953,105
20,0.001,1.4000000000000001,14,37
20,1.0000000000000001E-7,0.2,330,76
20,0.001,1.5000000000000002,17,37
20,1.0E-9,0.2,472,105
20,0.001,1.6000000000000003,21,37
20,1.0E-5,0.4,95,57
20,1.0000000000000001E-7,0.30000000000000004,218,76
20,0.001,1.7000000000000004,29,37
20,1.0E-5,0.5,76,57
20,1.0000000000000001E-7,0.4,159,76
20,1.0E-5,0.6,63,57
20,1.0000000000000001E-7,0.5,123,76
20,1.0E-5,0.7,53,57
20,1.0E-9,0.30000000000000004,306,105
20,1.0E-9,0.4,220,105
20,1.0E-5,0.7999999999999999,45,57
20,1.0E-5,0.8999999999999999,38,57
20,0.001,1.8000000000000005,45,37
20,1.0000000000000001E-7,0.6,97,76
20,1.0E-5,0.9999999999999999,31,57
20,0.001,1.9000000000000006,93,37
20,1.0E-5,1.0999999999999999,25,57
20,1.0000000000000001E-7,0.7,79,76
20,1.0E-9,0.5,167,105
20,1.0000000000000001E-7,0.7999999999999999,64,76
20,1.0E-9,0.6,131,105
20,1.0000000000000001E-7,0.8999999999999999,52,76
20,1.0E-9,0.7,104,105
20,1.0000000000000001E-7,0.9999999999999999,41,76
20,1.0E-5,1.2,21,57
20,1.0E-9,0.7999999999999999,84,105
20,1.0000000000000001E-7,1.0999999999999999,32,76
20,1.0000000000000001E-7,1.2,27,76
40,0.001,0.1,219,38
20,1.0E-5,1.3,20,57
20,1.0E-5,1.4000000000000001,22,57
20,1.0E-5,1.5000000000000002,27,57
20,1.0E-5,1.6000000000000003,35,57
20,1.0E-9,0.8999999999999999,67,105
20,1.0E-9,0.9999999999999999,52,105
20,1.0E-9,1.0999999999999999,41,105
20,1.0E-9,1.2,34,105
20,1.0E-5,1.7000000000000004,49,57
20,1.0E-5,1.8000000000000005,76,57
20,1.0E-5,1.9000000000000006,158,57
20,1.0E-9,1.3,33,105
20,1.0E-9,1.4000000000000001,36,105
20,1.0E-9,1.5000000000000002,44,105
20,1.0E-9,1.6000000000000003,57,105
40,0.001,0.2,122,38
20,1.0000000000000001E-7,1.3,26,76
20,1.0000000000000001E-7,1.4000000000000001,29,76
20,1.0E-9,1.7000000000000004,79,105
20,1.0000000000000001E-7,1.5000000000000002,35,76
20,1.0E-9,1.8000000000000005,125,105
20,1.0000000000000001E-7,1.6000000000000003,45,76
20,1.0E-9,1.9000000000000006,263,105
20,1.0000000000000001E-7,1.7000000000000004,62,76
20,1.0000000000000001E-7,1.8000000000000005,99,76
20,1.0000000000000001E-7,1.9000000000000006,205,76
40,0.001,0.30000000000000004,85,38
40,1.0000000000000001E-7,0.1,632,79
40,1.0E-5,0.1,451,59
40,0.001,0.4,64,38
40,1.0E-5,0.2,233,59
40,0.001,0.5,51,38
40,1.0000000000000001E-7,0.2,315,79
40,1.0E-9,0.1,894,99
40,1.0000000000000001E-7,0.30000000000000004,203,79
40,0.001,0.6,42,38
40,1.0000000000000001E-7,0.4,145,79
40,0.001,0.7,35,38
40,1.0E-5,0.30000000000000004,154,59
40,1.0000000000000001E-7,0.5,110,79
40,1.0E-9,0.2,449,99
40,0.001,0.7999999999999999,29,38
40,1.0E-5,0.4,113,59
40,1.0000000000000001E-7,0.6,86,79
40,0.001,0.8999999999999999,25,38
40,0.001,0.9999999999999999,21,38
40,1.0000000000000001E-7,0.7,69,79
40,1.0E-9,0.30000000000000004,294,99
40,0.001,1.0999999999999999,17,38
40,1.0000000000000001E-7,0.7999999999999999,56,79
40,1.0E-5,0.5,87,59
40,0.001,1.2,14,38
40,1.0E-9,0.4,214,99
40,1.0000000000000001E-7,0.8999999999999999,46,79
40,0.001,1.3,14,38
40,1.0E-5,0.6,69,59
40,1.0000000000000001E-7,0.9999999999999999,38,79
40,1.0E-9,0.5,164,99
40,1.0000000000000001E-7,1.0999999999999999,32,79
40,0.001,1.4000000000000001,15,38
40,0.001,1.5000000000000002,18,38
40,0.001,1.6000000000000003,22,38
40,0.001,1.7000000000000004,30,38
40,0.001,1.8000000000000005,46,38
40,1.0E-9,0.6,130,99
40,1.0000000000000001E-7,1.2,28,79
40,1.0000000000000001E-7,1.3,28,79
40,1.0000000000000001E-7,1.4000000000000001,31,79
40,1.0000000000000001E-7,1.5000000000000002,37,79
40,1.0000000000000001E-7,1.6000000000000003,48,79
40,1.0000000000000001E-7,1.7000000000000004,67,79
40,1.0E-9,0.7,104,99
40,1.0000000000000001E-7,1.8000000000000005,106,79
40,1.0E-9,0.7999999999999999,85,99
40,1.0000000000000001E-7,1.9000000000000006,221,79
40,1.0E-5,0.7,55,59
40,1.0E-9,0.8999999999999999,68,99
40,1.0E-5,0.7999999999999999,45,59
40,1.0E-5,0.8999999999999999,36,59
40,0.001,1.9000000000000006,94,38
40,1.0E-9,0.9999999999999999,54,99
40,1.0E-5,0.9999999999999999,29,59
40,1.0E-5,1.0999999999999999,24,59
40,1.0E-5,1.2,21,59
80,0.001,0.1,227,40
40,1.0E-5,1.3,20,59
40,1.0E-9,1.0999999999999999,44,99
40,1.0E-5,1.4000000000000001,23,59
40,1.0E-5,1.5000000000000002,27,59
40,1.0E-5,1.6000000000000003,34,59
40,1.0E-5,1.7000000000000004,47,59
40,1.0E-5,1.8000000000000005,73,59
40,1.0E-5,1.9000000000000006,153,59
40,1.0E-9,1.2,37,99
40,1.0E-9,1.3,36,99
80,0.001,0.2,125,40
40,1.0E-9,1.4000000000000001,39,99
40,1.0E-9,1.5000000000000002,48,99
40,1.0E-9,1.6000000000000003,60,99
40,1.0E-9,1.7000000000000004,84,99
80,1.0E-5,0.1,444,59
80,0.001,0.30000000000000004,86,40
40,1.0E-9,1.8000000000000005,130,99
40,1.0E-9,1.9000000000000006,271,99
80,0.001,0.4,65,40
80,1.0000000000000001E-7,0.1,628,79
80,0.001,0.5,51,40
80,1.0E-5,0.2,228,59
80,1.0E-5,0.30000000000000004,150,59
80,0.001,0.6,42,40
80,0.001,0.7,34,40
80,1.0000000000000001E-7,0.2,313,79
80,1.0E-9,0.1,966,107
80,1.0E-5,0.4,109,59
80,1.0000000000000001E-7,0.30000000000000004,203,79
80,1.0E-5,0.5,83,59
80,0.001,0.7999999999999999,29,40
80,1.0000000000000001E-7,0.4,147,79
80,0.001,0.8999999999999999,24,40
80,1.0E-5,0.6,66,59
80,1.0000000000000001E-7,0.5,112,79
80,1.0000000000000001E-7,0.6,88,79
80,1.0000000000000001E-7,0.7,71,79
80,1.0000000000000001E-7,0.7999999999999999,59,79
80,1.0000000000000001E-7,0.8999999999999999,49,79
80,1.0E-5,0.7,53,59
80,1.0000000000000001E-7,0.9999999999999999,41,79
80,1.0E-5,0.7999999999999999,43,59
80,1.0000000000000001E-7,1.0999999999999999,33,79
80,1.0E-5,0.8999999999999999,35,59
80,1.0000000000000001E-7,1.2,30,79
80,1.0E-5,0.9999999999999999,29,59
80,1.0000000000000001E-7,1.3,29,79
80,1.0E-9,0.2,477,107
80,1.0000000000000001E-7,1.4000000000000001,32,79
80,0.001,0.9999999999999999,20,40
80,1.0E-5,1.0999999999999999,24,59
80,1.0000000000000001E-7,1.5000000000000002,38,79
80,1.0E-5,1.2,22,59
80,0.001,1.0999999999999999,17,40
80,1.0000000000000001E-7,1.6000000000000003,49,79
80,0.001,1.2,14,40
80,1.0000000000000001E-7,1.7000000000000004,68,79
80,1.0E-9,0.30000000000000004,307,107
80,1.0E-5,1.3,22,59
80,1.0000000000000001E-7,1.8000000000000005,106,79
80,0.001,1.3,14,40
80,1.0E-5,1.4000000000000001,24,59
80,0.001,1.4000000000000001,15,40
80,1.0000000000000001E-7,1.9000000000000006,220,79
80,1.0E-9,0.4,220,107
160,0.001,0.1,234,42
80,1.0E-5,1.5000000000000002,28,59
80,0.001,1.5000000000000002,18,40
80,0.001,1.6000000000000003,23,40
80,1.0E-5,1.6000000000000003,37,59
80,0.001,1.7000000000000004,31,40
80,1.0E-9,0.5,166,107
80,1.0E-5,1.7000000000000004,50,59
80,1.0E-9,0.6,129,107
80,1.0E-5,1.8000000000000005,78,59
80,0.001,1.8000000000000005,49,40
80,0.001,1.9000000000000006,101,40
80,1.0E-9,0.7,102,107
80,1.0E-5,1.9000000000000006,164,59
80,1.0E-9,0.7999999999999999,81,107
80,1.0E-9,0.8999999999999999,63,107
160,0.001,0.2,127,42
80,1.0E-9,0.9999999999999999,48,107
80,1.0E-9,1.0999999999999999,39,107
80,1.0E-9,1.2,36,107
160,1.0E-5,0.1,442,61
80,1.0E-9,1.3,36,107
80,1.0E-9,1.4000000000000001,40,107
80,1.0E-9,1.5000000000000002,48,107
80,1.0E-9,1.6000000000000003,62,107
160,0.001,0.30000000000000004,87,42
80,1.0E-9,1.7000000000000004,87,107
80,1.0E-9,1.8000000000000005,135,107
80,1.0E-9,1.9000000000000006,284,107
160,0.001,0.4,65,42
160,1.0E-5,0.2,227,61
160,0.001,0.5,51,42
160,1.0000000000000001E-7,0.1,709,82
160,1.0E-5,0.30000000000000004,151,61
160,0.001,0.6,41,42
160,1.0E-5,0.4,111,61
160,1.0E-9,0.1,956,106
160,0.001,0.7,34,42
160,1.0000000000000001E-7,0.2,358,82
160,0.001,0.7999999999999999,28,42
160,1.0E-5,0.5,86,61
160,1.0000000000000001E-7,0.30000000000000004,234,82
160,1.0E-5,0.6,69,61
160,0.001,0.8999999999999999,23,42
160,1.0000000000000001E-7,0.4,170,82
160,0.001,0.9999999999999999,19,42
160,1.0E-9,0.2,474,106
160,1.0E-5,0.7,56,61
160,1.0000000000000001E-7,0.5,130,82
320,0.001,0.1,251,43
160,0.001,1.0999999999999999,16,42
160,1.0E-5,0.7999999999999999,46,61
160,1.0000000000000001E-7,0.6,103,82
160,0.001,1.2,14,42
160,1.0E-9,0.30000000000000004,307,106
160,1.0E-5,0.8999999999999999,37,61
160,1.0000000000000001E-7,0.7,83,82
160,0.001,1.3,14,42
160,1.0E-5,0.9999999999999999,30,61
160,1.0E-9,0.4,221,106
160,0.001,1.4000000000000001,16,42
160,1.0E-5,1.0999999999999999,24,61
160,1.0E-9,0.5,168,106
160,1.0E-5,1.2,22,61
160,0.001,1.5000000000000002,18,42
320,0.001,0.2,135,43
160,1.0E-9,0.6,132,106
160,1.0000000000000001E-7,0.7999999999999999,67,82
160,1.0E-5,1.3,23,61
160,0.001,1.6000000000000003,24,42
160,1.0000000000000001E-7,0.8999999999999999,54,82
160,1.0E-5,1.4000000000000001,25,61
160,0.001,1.7000000000000004,32,42
160,1.0E-5,1.5000000000000002,31,61
160,1.0E-9,0.7,105,106
160,1.0000000000000001E-7,0.9999999999999999,43,82
160,0.001,1.8000000000000005,50,42
160,1.0E-5,1.6000000000000003,39,61
160,1.0000000000000001E-7,1.0999999999999999,35,82
160,1.0E-5,1.7000000000000004,54,61
160,1.0E-9,0.7999999999999999,84,106
160,1.0000000000000001E-7,1.2,30,82
160,0.001,1.9000000000000006,103,42
160,1.0E-5,1.8000000000000005,83,61
160,1.0E-9,0.8999999999999999,67,106
160,1.0E-5,1.9000000000000006,175,61
160,1.0000000000000001E-7,1.3,29,82
160,1.0E-9,0.9999999999999999,51,106
160,1.0000000000000001E-7,1.4000000000000001,31,82
160,1.0E-9,1.0999999999999999,43,106
160,1.0000000000000001E-7,1.5000000000000002,39,82
320,0.001,0.30000000000000004,92,43
160,1.0E-9,1.2,39,106
160,1.0000000000000001E-7,1.6000000000000003,50,82
160,1.0E-9,1.3,39,106
160,1.0000000000000001E-7,1.7000000000000004,70,82
160,1.0E-9,1.4000000000000001,43,106
160,1.0000000000000001E-7,1.8000000000000005,111,82
160,1.0E-9,1.5000000000000002,52,106
160,1.0000000000000001E-7,1.9000000000000006,234,82
160,1.0E-9,1.6000000000000003,66,106
160,1.0E-9,1.7000000000000004,92,106
160,1.0E-9,1.8000000000000005,144,106
320,0.001,0.4,68,43
160,1.0E-9,1.9000000000000006,301,106
320,0.001,0.5,53,43
320,1.0E-5,0.1,468,62
320,1.0000000000000001E-7,0.1,668,81
320,0.001,0.6,43,43
320,1.0E-9,0.1,937,104
320,0.001,0.7,35,43
320,1.0000000000000001E-7,0.2,334,81
320,1.0E-5,0.2,240,62
320,1.0E-9,0.2,466,104
320,0.001,0.7999999999999999,29,43
320,1.0000000000000001E-7,0.30000000000000004,217,81
320,1.0E-9,0.30000000000000004,302,104
320,1.0000000000000001E-7,0.4,157,81
320,0.001,0.8999999999999999,24,43
320,1.0E-5,0.30000000000000004,159,62
320,1.0000000000000001E-7,0.5,119,81
320,0.001,0.9999999999999999,20,43
320,1.0E-5,0.4,116,62
320,1.0E-9,0.4,218,104
320,1.0000000000000001E-7,0.6,94,81
320,1.0E-5,0.5,90,62
320,0.001,1.0999999999999999,17,43
320,1.0000000000000001E-7,0.7,76,81
320,1.0E-9,0.5,166,104
320,1.0E-5,0.6,72,62
320,1.0000000000000001E-7,0.7999999999999999,61,81
320,1.0E-9,0.6,130,104
320,1.0E-5,0.7,58,62
320,0.001,1.2,15,43
320,1.0000000000000001E-7,0.8999999999999999,50,81
320,1.0E-9,0.7,104,104
320,1.0000000000000001E-7,0.9999999999999999,41,81
320,1.0E-5,0.7999999999999999,47,62
320,1.0E-9,0.7999999999999999,83,104
320,0.001,1.3,15,43
320,1.0E-5,0.8999999999999999,39,62
320,1.0E-9,0.8999999999999999,65,104
320,1.0000000000000001E-7,1.0999999999999999,33,81
320,1.0E-5,0.9999999999999999,31,62
320,0.001,1.4000000000000001,17,43
320,1.0000000000000001E-7,1.2,30,81
320,1.0E-9,0.9999999999999999,52,104
320,1.0E-5,1.0999999999999999,25,62
320,0.001,1.5000000000000002,20,43
320,1.0000000000000001E-7,1.3,31,81
320,1.0E-5,1.2,22,62
320,0.001,1.6000000000000003,25,43
320,1.0E-9,1.0999999999999999,45,104
320,1.0000000000000001E-7,1.4000000000000001,34,81
320,1.0E-5,1.3,22,62
320,0.001,1.7000000000000004,35,43
320,1.0000000000000001E-7,1.5000000000000002,41,81
320,1.0E-9,1.2,41,104
640,0.001,0.1,268,44
320,0.001,1.8000000000000005,54,43
320,1.0E-5,1.4000000000000001,25,62
320,1.0000000000000001E-7,1.6000000000000003,52,81
320,1.0E-9,1.3,41,104
320,0.001,1.9000000000000006,113,43
320,1.0E-9,1.4000000000000001,45,104
320,1.0000000000000001E-7,1.7000000000000004,73,81
320,1.0E-5,1.5000000000000002,30,62
320,1.0E-9,1.5000000000000002,53,104
320,1.0000000000000001E-7,1.8000000000000005,114,81
320,1.0E-5,1.6000000000000003,38,62
320,1.0E-9,1.6000000000000003,68,104
320,1.0E-5,1.7000000000000004,52,62
320,1.0E-9,1.7000000000000004,94,104
320,1.0000000000000001E-7,1.9000000000000006,239,81
320,1.0E-5,1.8000000000000005,83,62
320,1.0E-9,1.8000000000000005,146,104
320,1.0E-5,1.9000000000000006,171,62
320,1.0E-9,1.9000000000000006,305,104
640,0.001,0.2,143,44
640,1.0E-5,0.1,470,64
640,0.001,0.30000000000000004,96,44
640,1.0000000000000001E-7,0.1,721,85
640,1.0E-5,0.2,239,64
640,0.001,0.4,72,44
640,1.0E-9,0.1,923,104
640,1.0000000000000001E-7,0.2,360,85
640,0.001,0.5,56,44
640,1.0E-5,0.30000000000000004,157,64
640,1.0E-9,0.2,454,104
640,1.0000000000000001E-7,0.30000000000000004,234,85
640,0.001,0.6,45,44
640,1.0E-5,0.4,114,64
640,1.0E-9,0.30000000000000004,292,104
640,0.001,0.7,37,44
640,1.0000000000000001E-7,0.4,168,85
640,1.0E-5,0.5,88,64
640,0.001,0.7999999999999999,30,44
640,1.0E-9,0.4,208,104
640,1.0000000000000001E-7,0.5,128,85
640,1.0E-5,0.6,70,64
640,0.001,0.8999999999999999,25,44
640,1.0E-9,0.5,157,104
640,1.0000000000000001E-7,0.6,100,85
640,1.0E-5,0.7,57,64
640,0.001,0.9999999999999999,21,44
640,1.0E-9,0.6,122,104
640,1.0E-5,0.7999999999999999,47,64
640,1.0000000000000001E-7,0.7,79,85
640,0.001,1.0999999999999999,18,44
640,1.0E-5,0.8999999999999999,39,64
640,1.0000000000000001E-7,0.7999999999999999,63,85
640,1.0E-9,0.7,97,104
640,0.001,1.2,15,44
640,1.0E-5,0.9999999999999999,32,64
640,1.0000000000000001E-7,0.8999999999999999,50,85
640,1.0E-9,0.7999999999999999,78,104
640,0.001,1.3,15,44
640,1.0E-5,1.0999999999999999,26,64
640,1.0000000000000001E-7,0.9999999999999999,40,85
640,1.0E-9,0.8999999999999999,63,104
640,0.001,1.4000000000000001,17,44
640,1.0E-5,1.2,24,64
640,1.0000000000000001E-7,1.0999999999999999,32,85
640,1.0E-9,0.9999999999999999,51,104
640,0.001,1.5000000000000002,20,44
640,1.0E-5,1.3,24,64
640,1.0000000000000001E-7,1.2,30,85
640,1.0E-9,1.0999999999999999,44,104
640,0.001,1.6000000000000003,25,44
640,1.0E-5,1.4000000000000001,27,64
640,1.0000000000000001E-7,1.3,31,85
640,1.0E-9,1.2,41,104
640,0.001,1.7000000000000004,35,44
640,1.0E-5,1.5000000000000002,33,64
640,1.0000000000000001E-7,1.4000000000000001,35,85
640,1.0E-9,1.3,41,104
640,0.001,1.8000000000000005,54,44
640,1.0E-5,1.6000000000000003,42,64
640,1.0000000000000001E-7,1.5000000000000002,43,85
640,1.0E-9,1.4000000000000001,46,104
640,0.001,1.9000000000000006,112,44
640,1.0E-5,1.7000000000000004,57,64
640,1.0000000000000001E-7,1.6000000000000003,55,85
640,1.0E-9,1.5000000000000002,55,104
640,1.0E-5,1.8000000000000005,89,64
640,1.0000000000000001E-7,1.7000000000000004,77,85
640,1.0E-9,1.6000000000000003,71,104
640,1.0000000000000001E-7,1.8000000000000005,121,85
640,1.0E-5,1.9000000000000006,186,64
640,1.0E-9,1.7000000000000004,97,104
640,1.0000000000000001E-7,1.9000000000000006,253,85
640,1.0E-9,1.8000000000000005,153,104
640,1.0E-9,1.9000000000000006,320,104
